Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Logistic Regression,Grid,0.09358763694763184
0.7851851851851852,0.7875410243844486,0.7851851851851852,0.7853870648803644,vt,Gradient Boosting,Grid,15.192589282989502
0.7703703703703704,0.7753511005361489,0.7703703703703704,0.7698363206355409,vt,KNN,Grid,0.1662900447845459
0.8049382716049382,0.8079888423096585,0.8049382716049382,0.8054961521564947,vt,Random Forest,Grid,2.2250797748565674
0.7086419753086419,0.7179547103848318,0.7086419753086419,0.7090380933518188,vt,Decision Tree,Grid,0.06102633476257324
0.8074074074074075,0.8106948887637588,0.8074074074074075,0.8069908632231226,vt,SVM,Grid,0.7596437931060791
