Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.7925925925925926,0.7953605749141763,0.7925925925925926,0.7920840720008399
rfe,CNN,0.7753086419753087,0.7869487420822172,0.7753086419753087,0.7775845020562178
skb,ANN,0.7753086419753087,0.7737700040567425,0.7753086419753087,0.7727187897521596
skb,CNN,0.7580246913580246,0.7642316558618168,0.7580246913580246,0.7593170217726033
fscs,ANN,0.7925925925925926,0.7941163890682547,0.7925925925925926,0.7923583737416965
fscs,CNN,0.7925925925925926,0.8009671687191067,0.7925925925925926,0.7947043734891308
etc,ANN,0.782716049382716,0.7830447862388397,0.782716049382716,0.7816077285595304
etc,CNN,0.782716049382716,0.7858464171785559,0.782716049382716,0.7835953511366178
pc,ANN,0.7901234567901234,0.795973395220279,0.7901234567901234,0.7884790475715131
pc,CNN,0.7950617283950617,0.7995268407795574,0.7950617283950617,0.7957157907430812
mi,ANN,0.7728395061728395,0.7718185502864593,0.7728395061728395,0.7707058749385368
mi,CNN,0.7654320987654321,0.7735172217034962,0.7654320987654321,0.7674369928925319
mir,ANN,0.8296296296296296,0.8337921078787048,0.8296296296296296,0.8294074122545296
mir,CNN,0.8296296296296296,0.8292721170396187,0.8296296296296296,0.8292007904775245
mu,ANN,0.7802469135802469,0.7821602181047262,0.7802469135802469,0.7765342175697837
mu,CNN,0.7679012345679013,0.7851584659239873,0.7679012345679013,0.7696707484416049
vt,ANN,0.7925925925925926,0.7971422986678517,0.7925925925925926,0.7909782274128753
vt,CNN,0.8222222222222222,0.8258226928436269,0.8222222222222222,0.8232466543186787
