Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Logistic Regression,Grid,0.10891079902648926
0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909,skb,Gradient Boosting,Grid,14.317133903503418
0.7654320987654321,0.768839463121168,0.7654320987654321,0.7647560460167754,skb,KNN,Grid,0.21677565574645996
0.7728395061728395,0.7769790193198434,0.7728395061728395,0.7721287885475714,skb,Random Forest,Grid,2.1339011192321777
0.6617283950617284,0.6630292652473595,0.6617283950617284,0.6570183350658307,skb,Decision Tree,Grid,0.05309629440307617
0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833,skb,SVM,Grid,0.9583640098571777
