Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9876543209876543,0.9881374367808478,0.9876543209876543,0.9875552564272855
Gradient Boosting,0.891358024691358,0.8924298966200485,0.891358024691358,0.8914938641563729
KNN,0.8148148148148148,0.8204360075837042,0.8148148148148148,0.8152592011007969
Random Forest,0.8814814814814815,0.8836958076969941,0.8814814814814815,0.8820991821053351
Decision Tree,0.7283950617283951,0.729908702126567,0.7283950617283951,0.72800143908424
SVM,0.9333333333333333,0.9344112450392774,0.9333333333333333,0.9332852955180431
