Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9851851851851852,0.9853675772303223,0.9851851851851852,0.9851061767194459
Gradient Boosting,0.8864197530864197,0.8880413461365178,0.8864197530864197,0.8867945266802542
KNN,0.817283950617284,0.8189933523266856,0.817283950617284,0.8171946893274326
Random Forest,0.8716049382716049,0.8722068251168782,0.8716049382716049,0.8718016124665069
Decision Tree,0.7333333333333333,0.7303675591527677,0.7333333333333333,0.7308419450295959
SVM,0.9481481481481482,0.9493660194918058,0.9481481481481482,0.9482288002095134
