Model,Accuracy,Precision,Recall,F1 Score
ANN,0.8074074074074075,0.8113865452505301,0.8074074074074075,0.8083201569501934
CNN,0.7777777777777778,0.7782913690944638,0.7777777777777778,0.7757854879114123
