Model,Accuracy,Precision,Recall,F1 Score
ANN,0.8839506172839506,0.8921512045016556,0.8839506172839506,0.8840718163277643
CNN,0.8641975308641975,0.863685316522196,0.8641975308641975,0.8632355775702049
