Model,Accuracy,Precision,Recall,F1 Score
ANN,0.9061728395061729,0.91064798637685,0.9061728395061729,0.9065033383816271
CNN,0.9481481481481482,0.9487309894036454,0.9481481481481482,0.9481598630017901
