Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8666666666666667,0.8669730817878966,0.8666666666666667,0.866771679309832
Gradient Boosting,0.817283950617284,0.8174205358315914,0.817283950617284,0.8170954954306684
KNN,0.7506172839506173,0.7582579486222889,0.7506172839506173,0.7489320331039409
Random Forest,0.8148148148148148,0.8153271040801905,0.8148148148148148,0.8147035107635894
Decision Tree,0.7012345679012346,0.6983587067449502,0.7012345679012346,0.699357429758779
SVM,0.8345679012345679,0.8367134143796912,0.8345679012345679,0.8350622415208219
