Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.7925925925925926,0.7946889804976945,0.7925925925925926,0.792786493837252,mu,Logistic Regression,Randomized,2.235050678253174
0.8098765432098766,0.8124433107254014,0.8098765432098766,0.8098998084511807,mu,Gradient Boosting,Randomized,55.00375771522522
0.7185185185185186,0.7151646977421345,0.7185185185185186,0.7146612894749471,mu,KNN,Randomized,0.4996910095214844
0.7654320987654321,0.7718816323816748,0.7654320987654321,0.7669116273134882,mu,Random Forest,Randomized,12.325674533843994
0.7061728395061728,0.7035782099548878,0.7061728395061728,0.7036054241480598,mu,Decision Tree,Randomized,0.11652135848999023
0.7901234567901234,0.7931907145240479,0.7901234567901234,0.7908883770814427,mu,SVM,Randomized,4.222414493560791
