Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7975308641975308,0.7978825154244161,0.7975308641975308,0.7956481063626867
Gradient Boosting,0.7382716049382716,0.7406342967675975,0.7382716049382716,0.7381485366530385
KNN,0.6666666666666666,0.6635230543146301,0.6666666666666666,0.6645494087534732
Random Forest,0.7135802469135802,0.7196401250631749,0.7135802469135802,0.7159032018250574
Decision Tree,0.6320987654320988,0.6357309755104144,0.6320987654320988,0.6317706670885375
SVM,0.7506172839506173,0.7520612328492899,0.7506172839506173,0.7511814230045474
