Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Logistic Regression,Randomized,1.7622909545898438
0.7061728395061728,0.7083569578752387,0.7061728395061728,0.7054109900215524,mu,Gradient Boosting,Randomized,56.68771028518677
0.6691358024691358,0.6653516593632616,0.6691358024691358,0.6617619178937194,mu,KNN,Randomized,0.4598827362060547
0.7234567901234568,0.729641073246654,0.7234567901234568,0.7248123365235415,mu,Random Forest,Randomized,11.758373260498047
0.6345679012345679,0.6407803575071318,0.6345679012345679,0.6324329750912163,mu,Decision Tree,Randomized,0.1152961254119873
0.691358024691358,0.6970888688237615,0.691358024691358,0.6933142700695281,mu,SVM,Randomized,6.355769157409668
