Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8123456790123457,0.8155548478409701,0.8123456790123457,0.8120920092624855,fscs,Logistic Regression,Grid,0.10789799690246582
0.7679012345679013,0.7713427754195777,0.7679012345679013,0.7671840699094368,fscs,Gradient Boosting,Grid,14.994415283203125
0.7185185185185186,0.7300181890795585,0.7185185185185186,0.7149767412203107,fscs,KNN,Grid,0.12067604064941406
0.7925925925925926,0.7999524412609298,0.7925925925925926,0.7924190840764619,fscs,Random Forest,Grid,2.167468786239624
0.7382716049382716,0.7427508966189749,0.7382716049382716,0.7360710670113874,fscs,Decision Tree,Grid,0.0580439567565918
0.8074074074074075,0.81208438370086,0.8074074074074075,0.8081479262977438,fscs,SVM,Grid,0.8896372318267822
