Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Logistic Regression,Bayes,16.426345586776733
0.7975308641975308,0.8020613694206599,0.7975308641975308,0.7965404014797809,fscs,Gradient Boosting,Bayes,121.7967689037323
0.7654320987654321,0.7714720050002701,0.7654320987654321,0.7650111004555679,fscs,KNN,Bayes,17.81706190109253
0.7876543209876543,0.7919796259623121,0.7876543209876543,0.7871566821252356,fscs,Random Forest,Bayes,41.47360849380493
0.7728395061728395,0.773382351581754,0.7728395061728395,0.7720315992714339,fscs,Decision Tree,Bayes,17.533710718154907
0.8123456790123457,0.8170092531663051,0.8123456790123457,0.8123394438209254,fscs,SVM,Bayes,25.33285641670227
