Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7654320987654321,0.7643811780354989,0.7654320987654321,0.7644384009572215
Gradient Boosting,0.7308641975308642,0.7313867618125672,0.7308641975308642,0.7304390170052225
KNN,0.7135802469135802,0.7089295922681329,0.7135802469135802,0.7095584095484364
Random Forest,0.7555555555555555,0.7539432003650783,0.7555555555555555,0.7545599105038155
Decision Tree,0.6938271604938272,0.6911690633165111,0.6938271604938272,0.6912221500329863
SVM,0.745679012345679,0.7463050825657154,0.745679012345679,0.7455502503243339
