Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8444444444444444,0.8473280919905855,0.8444444444444444,0.8446967213181774,mir,Logistic Regression,Bayes,19.532689332962036
0.8049382716049382,0.8057397210950358,0.8049382716049382,0.8045123286357617,mir,Gradient Boosting,Bayes,173.594313621521
0.7851851851851852,0.78694233271452,0.7851851851851852,0.7831335330641975,mir,KNN,Bayes,19.802762985229492
0.8246913580246914,0.8252022670429604,0.8246913580246914,0.8246312637276695,mir,Random Forest,Bayes,41.81808686256409
0.7333333333333333,0.7371189999034911,0.7333333333333333,0.7349168507053812,mir,Decision Tree,Bayes,14.527848720550537
0.8271604938271605,0.8312214967739381,0.8271604938271605,0.8279615273253312,mir,SVM,Bayes,17.995904684066772
