Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8123456790123457,0.8133116598409923,0.8123456790123457,0.8112997467344384
Gradient Boosting,0.7777777777777778,0.7780625533555332,0.7777777777777778,0.7775985978709739
KNN,0.7283950617283951,0.7312082111436949,0.7283950617283951,0.7292667547649816
Random Forest,0.7555555555555555,0.7572691200186239,0.7555555555555555,0.7554015109834857
Decision Tree,0.7012345679012346,0.7101118317892875,0.7012345679012346,0.7043731526675651
SVM,0.8,0.7998382260255898,0.8,0.798050961926881
