Model,Accuracy,Precision,Recall,F1,Feature Set
Logistic Regression,0.8148148148148148,0.8147406020618342,0.8148148148148148,0.8138890298823147,ETC
SVM,0.7901234567901234,0.7896453511274212,0.7901234567901234,0.7881291610952444,ETC
Gradient Boosting,0.7555555555555555,0.7585698713759846,0.7555555555555555,0.7566817443739692,ETC
Random Forest,0.7358024691358025,0.739971817706475,0.7358024691358025,0.7365169601729747,ETC
KNN,0.6888888888888889,0.6896173068886566,0.6888888888888889,0.6879159462209895,ETC
Decision Tree,0.6864197530864198,0.6953734507329042,0.6864197530864198,0.6878454691111471,ETC
Logistic Regression,0.7679012345679013,0.7712153513764939,0.7679012345679013,0.7683735322045809,FSCS
SVM,0.745679012345679,0.7495387823993614,0.745679012345679,0.746331828141088,FSCS
Random Forest,0.7209876543209877,0.7222567354964159,0.7209876543209877,0.7204711334986831,FSCS
Gradient Boosting,0.7185185185185186,0.7244730333897406,0.7185185185185186,0.7198338357737583,FSCS
KNN,0.7012345679012346,0.6992453197389455,0.7012345679012346,0.6973546723644505,FSCS
Decision Tree,0.6469135802469136,0.6488443378313219,0.6469135802469136,0.6473638357779169,FSCS
Logistic Regression,0.7975308641975308,0.7978825154244161,0.7975308641975308,0.7956481063626867,MI
SVM,0.7506172839506173,0.7520612328492899,0.7506172839506173,0.7511814230045474,MI
Gradient Boosting,0.7382716049382716,0.7406342967675975,0.7382716049382716,0.7381485366530385,MI
Random Forest,0.7185185185185186,0.7227290718251967,0.7185185185185186,0.7202406748800777,MI
KNN,0.6666666666666666,0.6635230543146301,0.6666666666666666,0.6645494087534732,MI
Decision Tree,0.6320987654320988,0.6357309755104144,0.6320987654320988,0.6317706670885375,MI
Logistic Regression,0.7654320987654321,0.7643811780354989,0.7654320987654321,0.7644384009572215,MIR
Random Forest,0.7555555555555555,0.7539432003650783,0.7555555555555555,0.7545599105038155,MIR
SVM,0.745679012345679,0.7463050825657154,0.745679012345679,0.7455502503243339,MIR
Gradient Boosting,0.7308641975308642,0.7313867618125672,0.7308641975308642,0.7304390170052225,MIR
KNN,0.7135802469135802,0.7089295922681329,0.7135802469135802,0.7095584095484364,MIR
Decision Tree,0.6938271604938272,0.6911690633165111,0.6938271604938272,0.6912221500329863,MIR
Logistic Regression,0.7283950617283951,0.7314093500196064,0.7283950617283951,0.728516923254507,MU
SVM,0.725925925925926,0.730025646470091,0.725925925925926,0.726755228180751,MU
Gradient Boosting,0.7135802469135802,0.7210678215923993,0.7135802469135802,0.7150864345187141,MU
Random Forest,0.6938271604938272,0.7003794643964635,0.6938271604938272,0.6950239500896875,MU
KNN,0.6888888888888889,0.6848432017422236,0.6888888888888889,0.6860488457858054,MU
Decision Tree,0.6395061728395062,0.6453202580821452,0.6395061728395062,0.6398530355033295,MU
Logistic Regression,0.7975308641975308,0.7978825154244161,0.7975308641975308,0.7956481063626867,PC
SVM,0.7506172839506173,0.7520612328492899,0.7506172839506173,0.7511814230045474,PC
Gradient Boosting,0.7382716049382716,0.7406342967675975,0.7382716049382716,0.7381485366530385,PC
Random Forest,0.7185185185185186,0.7217494065032742,0.7185185185185186,0.7198012980769251,PC
KNN,0.6666666666666666,0.6635230543146301,0.6666666666666666,0.6645494087534732,PC
Decision Tree,0.6320987654320988,0.6357309755104144,0.6320987654320988,0.6317706670885375,PC
Logistic Regression,0.7901234567901234,0.7892930190912727,0.7901234567901234,0.7888798180190392,RFE
SVM,0.7728395061728395,0.7762553677918537,0.7728395061728395,0.7727469331849898,RFE
Gradient Boosting,0.7580246913580246,0.7618329853502053,0.7580246913580246,0.7592715008880506,RFE
Random Forest,0.7407407407407407,0.7449362483768655,0.7407407407407407,0.7409353098449581,RFE
KNN,0.7185185185185186,0.7186844591165579,0.7185185185185186,0.7175442737473604,RFE
Decision Tree,0.6888888888888889,0.69356922383535,0.6888888888888889,0.6898582779200761,RFE
Logistic Regression,0.7975308641975308,0.7978825154244161,0.7975308641975308,0.7956481063626867,SKB
SVM,0.7506172839506173,0.7520612328492899,0.7506172839506173,0.7511814230045474,SKB
Gradient Boosting,0.7382716049382716,0.7406342967675975,0.7382716049382716,0.7381485366530385,SKB
Random Forest,0.7135802469135802,0.7196401250631749,0.7135802469135802,0.7159032018250574,SKB
KNN,0.6666666666666666,0.6635230543146301,0.6666666666666666,0.6645494087534732,SKB
Decision Tree,0.6320987654320988,0.6357309755104144,0.6320987654320988,0.6317706670885375,SKB
Logistic Regression,0.8123456790123457,0.8133116598409923,0.8123456790123457,0.8112997467344384,VT
SVM,0.8,0.7998382260255898,0.8,0.798050961926881,VT
Gradient Boosting,0.7777777777777778,0.7780625533555332,0.7777777777777778,0.7775985978709739,VT
Random Forest,0.7555555555555555,0.7572691200186239,0.7555555555555555,0.7554015109834857,VT
KNN,0.7283950617283951,0.7312082111436949,0.7283950617283951,0.7292667547649816,VT
Decision Tree,0.7012345679012346,0.7101118317892875,0.7012345679012346,0.7043731526675651,VT
