Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.7654320987654321,0.7720771877804342,0.7654320987654321,0.7664392474251562,fscs,Logistic Regression,Bayes,11.863105058670044
0.7506172839506173,0.7577400515927086,0.7506172839506173,0.7509833249214166,fscs,Gradient Boosting,Bayes,144.7580909729004
0.7160493827160493,0.7279684317221321,0.7160493827160493,0.7088993733380712,fscs,KNN,Bayes,12.36201524734497
0.7580246913580246,0.7653873285271565,0.7580246913580246,0.7577785234717297,fscs,Random Forest,Bayes,34.857362270355225
0.6765432098765433,0.6819214596730224,0.6765432098765433,0.6759702059940506,fscs,Decision Tree,Bayes,11.604313611984253
0.7604938271604939,0.7686215427692308,0.7604938271604939,0.7608654174919138,fscs,SVM,Bayes,19.431636571884155
