Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7876543209876543,0.790779521029209,0.7876543209876543,0.7865776798872508
Gradient Boosting,0.7382716049382716,0.7376869979930246,0.7382716049382716,0.736472037276567
KNN,0.7037037037037037,0.7042328468775926,0.7037037037037037,0.6972918364933142
Random Forest,0.7283950617283951,0.7310639053197664,0.7283950617283951,0.729103390599495
Decision Tree,0.6074074074074074,0.61420693227045,0.6074074074074074,0.6076633071024169
SVM,0.7753086419753087,0.7765261384751541,0.7753086419753087,0.7751961723473079
