Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7283950617283951,0.7331671398076626,0.7283950617283951,0.7292449520358717
Gradient Boosting,0.7061728395061728,0.7067395584017139,0.7061728395061728,0.7059656221683771
KNN,0.6345679012345679,0.6361261744676868,0.6345679012345679,0.6306935339174038
Random Forest,0.7333333333333333,0.7385988556680988,0.7333333333333333,0.7342635618198392
Decision Tree,0.6222222222222222,0.6223764889018226,0.6222222222222222,0.6214783987736348
SVM,0.7160493827160493,0.72039134075266,0.7160493827160493,0.7167406390973583
