Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.782716049382716,0.783310470964792,0.782716049382716,0.7810032088282496,mi,Logistic Regression,Randomized,2.020836591720581
0.7308641975308642,0.7321228369368042,0.7308641975308642,0.7289838333500029,mi,Gradient Boosting,Randomized,44.64615797996521
0.6987654320987654,0.7021020112708269,0.6987654320987654,0.6920131963645566,mi,KNN,Randomized,0.36327505111694336
0.7382716049382716,0.7417569245964788,0.7382716049382716,0.738828778443566,mi,Random Forest,Randomized,10.2614164352417
0.6370370370370371,0.6344138758001047,0.6370370370370371,0.635458811799808,mi,Decision Tree,Randomized,0.24925637245178223
0.7481481481481481,0.7491040136583234,0.7481481481481481,0.7482239451989013,mi,SVM,Randomized,9.74192214012146
