Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148
Gradient Boosting,0.7604938271604939,0.7665655792851019,0.7604938271604939,0.7613011099186701
KNN,0.6617283950617284,0.6645980285002193,0.6617283950617284,0.6590360002381794
Random Forest,0.762962962962963,0.7705856373007799,0.762962962962963,0.7640450594188565
Decision Tree,0.6617283950617284,0.6623581216827271,0.6617283950617284,0.6603622557925118
SVM,0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571
