Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8148148148148148,0.8147406020618342,0.8148148148148148,0.8138890298823147
Gradient Boosting,0.7555555555555555,0.7585698713759846,0.7555555555555555,0.7566817443739692
KNN,0.6888888888888889,0.6896173068886566,0.6888888888888889,0.6879159462209895
Random Forest,0.7358024691358025,0.739971817706475,0.7358024691358025,0.7365169601729747
Decision Tree,0.6864197530864198,0.6953734507329042,0.6864197530864198,0.6878454691111471
SVM,0.7901234567901234,0.7896453511274212,0.7901234567901234,0.7881291610952444
